file_name,car_type
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_aWg.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Bbw.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Cvl.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_eeu.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_gQW.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Gzs.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_kMx.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Mro.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Ofi.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_onJ.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_plr.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_RuR.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_SLr.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_UMh.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Wxn.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_xSG.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_xsI.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_yAs.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_ylA.jpg,Sedan
Acura_ILX_2013_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_YSc.jpg,Sedan
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_AWy.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_BFO.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_bgm.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_cBM.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Fdd.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_GjD.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_JvV.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Klc.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_lDb.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_mPe.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_NIH.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_phc.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_QkT.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_Qyl.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_rxS.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_WhS.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_xBA.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_xkb.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_yBL.jpg,Compact Cars
Acura_ILX_2014_28_16_110_15_4_70_55_179_39_FWD_5_4_4dr_YVt.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_BDF.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_Dwn.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_eAq.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_hff.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_kwB.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_KWr.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_LJN.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_scj.jpg,Compact Cars
Acura_ILX_2015_27_17_150_20_4_70_55_179_24_FWD_5_4_4dr_ubo.jpg,Compact Cars
